time,spd_ref,tq_ref,mav_spd,m1_current,m1_kw,m1_shaft_kw,m1_heatsink_tmp,m1_frequency,m1_torque_nm,m1_rpm,m1_kwh,mav_tq,m2_current,m2_kw,m2_shaft_kw,m2_heatsink_tmp,m2_frequency,m2_torque_nm,m2_rpm,m2_kwh,predicted_power
2025-01-20 09:17:23.098693+00:00,4.999084416773484,9.998168833546968,4.992980528596716,6.19,0.15,0.05,41,2.3,7.5,70,231,10.156869926142953,4.74,0.05,-0.02,40,2.2,3.0,-68,1,0
2025-01-20 09:17:24.461866+00:00,4.999084416773484,9.998168833546968,4.992980528596716,6.23,0.15,0.05,41,2.3,7.1,70,231,9.90661051089544,4.76,0.06,-0.02,40,2.3,2.7,-69,1,0
2025-01-20 09:17:25.813357+00:00,4.999084416773484,9.998168833546968,4.992980528596716,6.2,0.15,0.05,41,2.3,7.5,70,231,10.138558261612646,4.72,0.05,-0.02,40,2.4,2.8,-69,1,0
2025-01-20 09:17:27.184683+00:00,4.999084416773484,9.998168833546968,4.992980528596716,6.29,0.15,0.05,41,2.3,7.3,70,231,9.979857169016663,4.73,0.07,-0.02,40,2.2,2.8,-67,1,0
2025-01-20 09:17:28.494565+00:00,4.999084416773484,9.998168833546968,4.992980528596716,6.14,0.15,0.05,41,2.3,7.3,70,231,9.888298846365133,4.76,0.07,-0.02,40,2.3,2.7,-69,1,0
2025-01-20 09:17:29.891068+00:00,4.999084416773484,9.998168833546968,4.992980528596716,6.17,0.15,0.05,41,2.3,7.0,70,231,10.230116584264175,4.74,0.06,-0.02,40,2.3,2.9,-69,1,0
2025-01-20 09:17:31.254859+00:00,4.999084416773484,9.998168833546968,4.992980528596716,6.21,0.15,0.05,41,2.3,7.3,70,231,9.851675517304523,4.75,0.06,-0.02,40,2.2,2.7,-67,1,0
2025-01-20 09:17:32.599459+00:00,4.999084416773484,9.998168833546968,4.992980528596716,6.25,0.15,0.05,41,2.3,7.2,70,231,9.839467740950985,4.74,0.06,-0.02,40,2.1,2.9,-67,1,0
2025-01-20 09:17:33.962289+00:00,4.999084416773484,9.998168833546968,4.992980528596716,6.2,0.15,0.05,41,2.3,7.2,70,231,9.81505218824391,4.75,0.06,-0.02,40,2.2,2.8,-67,1,0
2025-01-20 09:17:35.316931+00:00,4.999084416773484,9.998168833546968,4.992980528596716,6.24,0.15,0.05,41,2.3,7.3,70,231,10.071415491668192,4.73,0.05,-0.02,40,2.2,2.7,-67,1,0
2025-01-20 09:17:36.676114+00:00,4.999084416773484,9.998168833546968,4.992980528596716,6.22,0.15,0.05,41,2.3,7.3,70,231,10.083623268021729,4.74,0.05,-0.02,40,2.3,2.8,-69,1,0
2025-01-20 09:17:38.032795+00:00,4.999084416773484,9.998168833546968,4.992980528596716,6.2,0.15,0.05,41,2.3,7.5,70,231,9.961545504486358,4.77,0.06,-0.02,40,2.2,2.7,-68,1,0
2025-01-20 09:17:39.367514+00:00,4.999084416773484,9.998168833546968,4.992980528596716,6.29,0.15,0.05,41,2.3,7.2,70,231,9.955441616309589,4.76,0.06,-0.02,40,2.2,2.7,-67,1,0
2025-01-20 09:17:40.665024+00:00,4.999084416773484,9.998168833546968,4.992980528596716,6.17,0.15,0.05,41,2.3,7.0,70,231,10.187389367026796,4.73,0.05,-0.02,40,2.3,2.8,-71,1,0
2025-01-20 09:17:42.108526+00:00,4.999084416773484,9.998168833546968,4.992980528596716,6.23,0.15,0.05,41,2.3,7.1,70,231,9.918818287248977,4.75,0.06,-0.02,40,2.2,2.7,-68,1,0
2025-01-20 09:17:43.465554+00:00,4.999084416773484,9.998168833546968,4.992980528596716,6.21,0.15,0.05,41,2.3,7.0,70,231,10.016480498077275,4.74,0.06,-0.02,40,2.2,2.8,-67,1,0
2025-01-20 09:17:44.824869+00:00,4.999084416773484,9.998168833546968,4.992980528596716,6.2,0.15,0.05,41,2.3,7.3,70,231,10.181285478850027,4.74,0.06,-0.02,40,2.2,3.1,-67,1,0
2025-01-20 09:17:46.181243+00:00,9.998168833546968,9.998168833546968,9.9920649453702,6.0,0.16,0.07,41,4.7,5.4,140,231,10.059207715314654,4.77,0.04,-0.04,40,4.5,2.7,-138,1,0
2025-01-20 09:17:47.540278+00:00,9.998168833546968,9.998168833546968,9.9920649453702,6.07,0.17,0.07,41,4.7,5.6,140,231,10.175181590673258,4.77,0.04,-0.04,40,4.7,3.1,-141,1,0
2025-01-20 09:17:48.898072+00:00,9.998168833546968,9.998168833546968,9.9920649453702,6.08,0.18,0.08,41,4.7,5.4,140,231,9.985961057193432,4.74,0.05,-0.04,40,4.6,2.6,-140,1,0
2025-01-20 09:17:50.226109+00:00,9.998168833546968,9.998168833546968,9.9920649453702,5.98,0.17,0.07,41,4.7,5.2,140,231,10.03479216260758,4.75,0.07,-0.04,40,4.6,2.8,-138,1,0
2025-01-20 09:17:51.615261+00:00,9.998168833546968,9.998168833546968,9.9920649453702,5.96,0.17,0.08,41,4.7,5.0,140,231,9.961545504486358,4.74,0.06,-0.04,40,4.6,2.6,-139,1,0
2025-01-20 09:17:52.979869+00:00,9.998168833546968,9.998168833546968,9.9920649453702,6.04,0.17,0.07,41,4.7,5.2,140,231,9.961545504486358,4.74,0.06,-0.04,40,4.6,2.8,-138,1,0
2025-01-20 09:17:54.327274+00:00,9.998168833546968,9.998168833546968,9.9920649453702,6.07,0.17,0.07,41,4.7,5.3,140,231,10.156869926142953,4.79,0.05,-0.04,40,4.5,3.1,-138,1,0
2025-01-20 09:17:55.626206+00:00,9.998168833546968,9.998168833546968,9.9920649453702,6.11,0.17,0.07,41,4.7,5.5,140,231,9.9920649453702,4.72,0.05,-0.04,40,4.6,2.6,-136,1,0
2025-01-20 09:17:56.972932+00:00,9.998168833546968,9.998168833546968,9.9920649453702,6.12,0.17,0.08,41,4.7,5.3,140,231,10.101934932552036,4.73,0.05,-0.04,40,4.5,2.8,-139,1,0
2025-01-20 09:17:58.293363+00:00,9.998168833546968,9.998168833546968,9.9920649453702,6.1,0.17,0.07,41,4.7,5.5,140,231,10.108038820728803,4.76,0.04,-0.04,40,4.5,2.9,-139,1,0
2025-01-20 09:17:59.656438+00:00,9.998168833546968,9.998168833546968,9.9920649453702,6.05,0.17,0.08,41,4.7,5.4,140,231,10.016480498077275,4.75,0.04,-0.04,40,4.7,2.7,-138,1,0
2025-01-20 09:18:00.985407+00:00,9.998168833546968,9.998168833546968,9.9920649453702,6.06,0.17,0.08,41,4.7,5.2,140,231,9.985961057193432,4.71,0.06,-0.04,40,4.6,2.8,-139,1,0
2025-01-20 09:18:02.370981+00:00,9.998168833546968,9.998168833546968,9.9920649453702,6.04,0.17,0.07,41,4.7,5.7,140,231,10.108038820728803,4.78,0.05,-0.04,40,4.6,2.7,-138,1,0
